cod_ibge7,cod_ibge6,cod_siafi,uf,nome_municipio,ano_mes,n_cat,n_obito,n_cid_mental,n_cid_lesao,n_cid_musculo,bf_beneficiarios,bf_entradas,bf_valor_total
5221551,522155,9765,GO,TURVELANDIA                                  ,202510,1,0,0,1,0,403,0,271318.0
4111555,411155,9955,PR,IVATE                                        ,202510,13,0,0,3,0,377,0,245999.0
4216107,421610,8317,SC,SAO DOMINGOS                                 ,202510,1,0,0,1,0,324,0,209631.0
4218509,421850,8363,SC,TREZE TILIAS                                 ,202510,4,0,0,3,1,107,0,70459.0
3525854,352585,0802,SP,JUMIRIM                                      ,202510,10,0,0,6,1,87,0,51941.0
3119807,311980,4395,MG,CORREGO DANTA                                ,202510,3,0,0,2,0,133,0,87506.0
3120409,312040,4407,MG,CRISTIANO OTONI                              ,202510,1,0,0,1,0,304,0,203050.0
4108106,410810,7559,PR,FLORIDA                                      ,202510,1,0,0,1,0,138,0,84297.0
4108320,410832,7977,PR,FRANCISCO ALVES                              ,202510,1,0,0,1,0,443,0,295147.0
3130200,313020,4603,MG,IGARATINGA                                   ,202510,2,0,0,2,0,328,0,202316.0
4102109,410210,7439,PR,ASTORGA                                      ,202510,13,0,0,9,1,866,0,548953.0
4104600,410460,7489,PR,CAPITAO LEONIDAS MARQUES                     ,202510,6,0,0,4,0,1070,0,698894.0
4202859,420285,5557,SC,BRACO DO TROMBUDO                            ,202510,2,1,0,1,0,10,0,5002.0
4204756,420475,0910,SC,CUNHATAI                                     ,202510,1,0,0,1,0,9,0,5290.0
4205357,420535,0916,SC,FLOR DO SERTAO                               ,202510,3,0,0,3,0,36,0,25113.0
3518859,351885,7257,SP,GUATAPARA                                    ,202510,1,0,0,1,0,463,0,319680.0
3153608,315360,5071,MG,PRUDENTE DE MORAIS                           ,202510,3,0,0,3,0,732,0,483205.0
3506805,350680,6235,SP,BOCAINA                                      ,202510,2,0,0,2,0,610,0,417763.0
3507407,350740,6247,SP,BORBOREMA                                    ,202510,13,0,0,9,0,501,0,311312.0
3200102,320010,5601,ES,AFONSO CLAUDIO                               ,202510,5,0,0,3,1,2123,0,1300474.0
3164407,316440,5287,MG,SAO SEBASTIAO DA BELA VISTA                  ,202510,2,0,0,1,0,227,0,153516.0
3166907,316690,5337,MG,SERRANIA                                     ,202510,3,1,0,3,0,332,0,225973.0
4309050,430905,8407,RS,GLORINHA                                     ,202510,2,0,0,2,0,290,0,189034.0
4310801,431080,8717,RS,IVOTI                                        ,202510,9,0,0,7,1,121,0,72287.0
4311205,431120,8725,RS,JULIO DE CASTILHOS                           ,202510,4,0,0,1,2,1119,0,757017.0
4311908,431190,8739,RS,MARCELINO RAMOS                              ,202510,1,0,0,0,1,71,0,46189.0
4313003,431300,8763,RS,NOVA BRESCIA                                 ,202510,3,0,0,1,2,43,0,25565.0
5215900,521590,9515,GO,PALMINOPOLIS                                 ,202510,1,0,0,0,1,360,0,233009.0
3531209,353120,6725,SP,MONTE ALEGRE DO SUL                          ,202510,4,0,0,3,0,213,0,139883.0
4302204,430220,8543,RS,BOA VISTA DO BURICA                          ,202510,2,0,0,0,0,128,0,81632.0
4303558,430355,8447,RS,CAMARGO                                      ,202510,1,0,0,1,0,39,0,26090.0
4300034,430003,1118,RS,ACEGUA                                       ,202510,1,0,0,1,0,270,0,181295.0
3534500,353450,6791,SP,OSCAR BRESSANE                               ,202510,1,0,0,1,0,104,0,64702.0
4315149,431514,6023,RS,PRESIDENTE LUCENA                            ,202510,6,0,0,6,0,34,0,20615.0
3133709,313370,4673,MG,ITATIAIUCU                                   ,202510,3,0,0,3,0,607,0,412887.0
4316501,431650,8833,RS,SALVADOR DO SUL                              ,202510,2,0,0,2,0,35,0,23847.0
4314001,431400,8783,RS,PARAI                                        ,202510,7,0,0,6,1,45,0,24676.0
3127073,312707,0612,MG,FRUTA DE LEITE                               ,202510,1,0,0,1,0,633,0,439070.0
4319752,431975,7293,RS,SAO VENDELINO                                ,202510,2,0,0,2,0,17,0,10905.0
4320354,432035,5781,RS,SENTINELA DO SUL                             ,202510,3,0,0,3,0,370,0,245616.0
4321956,432195,7325,RS,TRINDADE DO SUL                              ,202510,2,1,0,2,0,208,0,134209.0
4206702,420670,8131,SC,HERVAL D'OESTE                               ,202510,6,0,0,4,0,279,0,190237.0
4208401,420840,8165,SC,ITAPIRANGA                                   ,202510,11,0,0,5,1,173,0,114416.0
4209854,420985,9961,SC,LINDOIA DO SUL                               ,202510,3,0,0,1,1,83,0,51383.0
4210001,421000,8197,SC,LUIZ ALVES                                   ,202510,9,0,0,8,1,213,0,138677.0
4213203,421320,8259,SC,POMERODE                                     ,202510,43,0,0,38,2,68,0,40648.0
3519808,351980,6497,SP,ICEM                                         ,202510,1,0,0,0,0,354,0,234032.0
3144706,314470,4893,MG,NOVA ERA                                     ,202510,5,0,0,5,0,1007,0,643728.0
4214904,421490,8293,SC,RIO FORTUNA                                  ,202510,1,0,0,1,0,23,0,13496.0
4215406,421540,8303,SC,SALTO VELOSO                                 ,202510,3,0,0,2,0,75,0,53013.0
