cod_ibge7,cod_ibge6,cod_siafi,uf,nome_municipio,cat_total,cat_obito,cat_cid_mental,cat_cid_lesao,cat_cid_musculo,cat_afastamento,cnae_dominante,cnae_dominante_nome,cat_cnae_dominante,concentracao_dominante,n_cnaes_ativos,bf_media,bf_pico,bf_vale,bf_ini,bf_fim,bf_variacao_periodo,bf_variacao_pct
2807402,280740,3247,SE,TOBIAS BARRETO                               ,10.0,0.0,0.0,10.0,0.0,4.0,42,Obras para Geracao e,2.0,0.2,7,12556.583333333334,13186,11623,13186,11665,-1521,-0.11534961322614895
2807600,280760,3251,SE,UMBAUBA                                      ,11.0,0.0,0.0,7.0,2.0,4.0,23,Fabricacao de Artefa,4.0,0.36363636363636365,5,5369.166666666667,5514,5157,5295,5354,59,0.011142587346553353
3500105,350010,6101,SP,ADAMANTINA                                   ,311.0,3.0,1.0,211.0,31.0,170.0,84,Administracao Public,88.0,0.2829581993569132,26,718.0416666666666,764,649,698,697,-1,-0.0014326647564469914
3500303,350030,6105,SP,AGUAI                                        ,293.0,0.0,1.0,212.0,13.0,138.0,82,Servicos Combinados ,89.0,0.3037542662116041,27,2238.7083333333335,2545,1865,2469,1919,-550,-0.22276225192385582
3500501,350050,6109,SP,AGUAS DE LINDOIA                             ,116.0,0.0,0.0,77.0,8.0,66.0,84,Administracao Public,25.0,0.21551724137931033,17,474.3333333333333,541,394,536,417,-119,-0.22201492537313433
3500907,350090,6117,SP,ALTAIR                                       ,23.0,0.0,0.0,22.0,0.0,12.0,01,Criacao de Aves     ,19.0,0.8260869565217391,2,207.29166666666666,266,159,266,171,-95,-0.35714285714285715
3501103,350110,6121,SP,ALTO ALEGRE                                  ,13.0,0.0,0.0,11.0,0.0,6.0,84,Administracao Public,6.0,0.46153846153846156,5,306.3333333333333,326,281,306,281,-25,-0.08169934640522876
3501301,350130,6125,SP,ALVARES MACHADO                              ,62.0,0.0,0.0,44.0,5.0,30.0,84,Administracao Public,9.0,0.14516129032258066,20,1955.5416666666667,2049,1776,2049,1913,-136,-0.06637384089799903
3501905,350190,6137,SP,AMPARO                                       ,714.0,0.0,3.0,504.0,41.0,303.0,47,Comercio Varejista d,123.0,0.1722689075630252,46,1948.5833333333333,2226,1392,2226,1581,-645,-0.28975741239892183
3502101,350210,6141,SP,ANDRADINA                                    ,910.0,0.0,1.0,717.0,41.0,425.0,10,"Abate de Suinos, Ave",366.0,0.4021978021978022,46,3437.5416666666665,3596,3021,3596,3277,-319,-0.08870967741935484
3502309,350230,6145,SP,ANHEMBI                                      ,23.0,0.0,0.0,18.0,2.0,12.0,01,Criacao de Aves     ,11.0,0.4782608695652174,4,579.75,627,493,518,627,109,0.21042471042471042
3502507,350250,6149,SP,APARECIDA                                    ,296.0,0.0,0.0,185.0,14.0,152.0,94,Atividades de Associ,126.0,0.42567567567567566,18,1612.7916666666667,1813,1308,1680,1380,-300,-0.17857142857142858
3502705,350270,6153,SP,APIAI                                        ,69.0,0.0,0.0,50.0,0.0,32.0,86,Atividades de Atendi,15.0,0.21739130434782608,15,2473.9583333333335,2617,2204,2612,2236,-376,-0.1439509954058193
3502903,350290,6157,SP,ARACOIABA DA SERRA                           ,243.0,0.0,1.0,136.0,25.0,126.0,21,Fabricacao de Medica,122.0,0.5020576131687243,24,1572.4583333333333,1702,1329,1700,1338,-362,-0.21294117647058824
3503109,350310,6161,SP,ARANDU                                       ,20.0,0.0,0.0,15.0,1.0,12.0,84,Administracao Public,11.0,0.55,3,430.7916666666667,459,382,456,385,-71,-0.15570175438596492
3503158,350315,2991,SP,ARAPEI                                       ,4.0,0.0,0.0,4.0,0.0,1.0,84,Administracao Public,2.0,0.5,2,287.9583333333333,316,246,315,246,-69,-0.21904761904761905
3503307,350330,6165,SP,ARARAS                                       ,1248.0,3.0,6.0,853.0,55.0,587.0,10,"Abate de Suinos, Ave",198.0,0.15865384615384615,50,6071.791666666667,6619,5382,6619,5465,-1154,-0.1743465780329355
3504107,350410,6181,SP,ATIBAIA                                      ,1752.0,2.0,6.0,1341.0,102.0,783.0,86,Atividades de Atendi,217.0,0.12385844748858447,60,4581.458333333333,5333,3425,5257,3741,-1516,-0.288377401559825
3504305,350430,6185,SP,AVAI                                         ,3.0,0.0,0.0,3.0,0.0,0.0,46,Comercio Atacadista ,3.0,1.0,1,411.375,443,388,400,415,15,0.0375
3504503,350450,6189,SP,AVARE                                        ,537.0,3.0,2.0,347.0,26.0,244.0,47,Comercio Varejista d,123.0,0.22905027932960895,39,4207.416666666667,4428,3764,4420,3867,-553,-0.1251131221719457
3504701,350470,6193,SP,BALBINOS                                     ,5.0,0.0,0.0,4.0,0.0,1.0,84,Administracao Public,4.0,0.8,2,135.75,145,123,139,139,0,0.0
3505104,350510,6199,SP,BARBOSA                                      ,15.0,1.0,0.0,10.0,2.0,3.0,10,"Abate de Suinos, Ave",11.0,0.7333333333333333,4,630.5,667,574,640,599,-41,-0.0640625
3505302,350530,6205,SP,BARRA BONITA                                 ,332.0,1.0,0.0,234.0,20.0,139.0,10,"Abate de Suinos, Ave",75.0,0.22590361445783133,27,1403.875,1456,1320,1455,1370,-85,-0.058419243986254296
3505500,350550,6209,SP,BARRETOS                                     ,1195.0,1.0,2.0,817.0,63.0,504.0,86,Atividades de Atendi,329.0,0.27531380753138074,41,4471.583333333333,5273,3510,5273,3900,-1373,-0.2603830836336052
